text,label
coh also got rejected by cloud but still in slight uptrend for past few buy when it enters cloud,1
@stock watch @stock it s a tell for @stock imo,1
good eye @user @stock broke resistance ooks to continue its bullish trend,1
@stock don t be surprise if apple go much lower done and i mean much lower and done,-1
@stock moving down with volume couldnt cope with the descending trend line trend is still down perhaps @number is not impossible after all,-1
@stock inverted head and shoulder play out well wasn t able to catch the entry eyes on it,1
@stock ong @number @number trailing stop @number @number from @number stops of @number @number @number @number @number @number @number @number @number @number @number @number @number @number,1
sensex nifty likely to open higher after worst day ever http,1
i am so sold on technicals for @stock swing long here had to set my stop real tight to make sure i had myself under control,1
personally i would like to see @stock @number share before @number @stock after a @number @number split of course then we would see @number very quickly @stock,1
@stock peeling some off,1
@stock @numbersma acting as a good support short term momentum indicators have switched to the upside,1
@stock sure likes @number,1
@stock blue sky breakout today,1
february trade deficit at @number @number billion http,-1
@stock @numberma crossing above @numberma,1
weak listing for @stock cards shares fall @number at debut http,-1
@stock considering buying some put options,-1
@stock nice start on ok volume looking for entry,1
borrowers unlikely to get loan moratorium benefit as banks will charge interest later http,1
@stock has come down approx@number @stock prices may swing straddle options @stock @stockc @stock miners to gain exposure of the @stock d@stock to @stockdge,1
james @stock white jamba @stock juicy turnaround on vimeo @numberhr video from @number jmb@stock this is great stuff,1
@stock holding up well bollingerband break @stock confirms @stock confirms @stock tryin to reflect uptrend,1
@stock still acting ok would like to see a pop thru @number @number soon @number @number stop,1
gold imports slump @number in march to lowest in over @number years report http,-1
@user @stock triggering at the @number @number buy price nice @number min candle need to build on this intra day momentum,1
ong idea in @stock for tomorrow,1
@stock fast money crew is just not too bright buy @stock cause its down @number on no news @stock genius tomorrow it might be down @number,-1
@stock grabbed some otto @number @number puts could be a breakdown @number @number,-1
o hi setups @stock @stock @stock @stock @stock bee dang @stock @stock @stock @stock @stock @stock @stock,1
nice cup with handle breakout on @stock,1
@stock moving again,1
@stock @number any news,-1
contralert don t panic wall street is going crazy for student oans but it s not a bubble @stock,-1
@stock really looking good here great call option action too,1
@user @stock ising wedge normally bearish close below @number confirms nice one,-1
@stock amazed how an @number gainer gets no @stock recognition guess that goes along with only having @number followers undertheradar,1
@stock heading back over @number imo funds oading,1
the federal government is sending out money here are all the details http http,1
@stock and @stock they want out for april earnings,-1
stop on @stock is @number @number hard stop risking @number to make @number @number pts,1
@user @stock strong financials more contracts for progenitor in pipeline approval for @stock @number expected this is the sacred cow of @number,1
@stock @stock @stock stock splits has wealth effect exbuy@number shares @stock in@number worth @number million receiving @numberk yearly @stock ex @stock @stock @stock etc,1
the dow falls @number points to end a period marred by coronavirus http,-1
@user @stock we are seeing,1
@stock another bricks and mortar dinosaur falling to online retailing details here,-1
@stock @stock @stock @stock @stock deutsche bank today is an important day for investors in gold,-1
@stock short @number @number,-1
don t shoot the mailman point figure target @stock @stock @stock sorry @stock heads,-1
@stock @user @stock @stock joe wolk tells me he wasn t @number sure until last week that the company would be giving @number guidance today their a,1
sizemore on fox cashing in on the echo boomers sizemore insights @stock @stock @stock @stock,1
@stock @stock feb @number @number puts for @number olling the dice,-1
@stock oupss sooner than expected that s what s alerts are for,1
@user xraystocktrader great dividend pay and continued upside eager to see the next acquisitions @stock,1
@stock should be trading at @number @number as each share worth @number @number shares of @stock @number @number x @number @number @number @number,1
@stock looks like a bear flag we are short will respect the flag and exit on a close above,-1
@stock earnings today stock up @number,1
@stock @user india s @stock takes additional steps to support economy http via @user,1
@stock much better positioned than @stock does not rely on hardware sales less competition search monopoly better vision,1
you can t garden wall a browser @stock @stock,1
@stock like the daily and intraday setup will try over @number @number,1
@stock trading close to point figure trend line support next target is @number at trend support,-1
@stock bullish breakout confirmed on expanding volume,1
@stock @user the fed is settling into its role as the world s central bank again allowing foreign central banks to access the fed s,1
mukesh ambani s net worth drops to @number billion in @number months amid coronavirus crisis http,-1
@stock long @number @number chilling few days on lower volume lets c if it wants the spot,1
@stock revs retained earnings @stock last @numberyr yoga growin lifestyle trend can stay on top of it,1
for years hospitals and large physician practices had a steady predictable stream of sales and profits the corona http,1
yup @user @stock @stock easoning is nothing more than innuendos speculation and well crap mayo should be ashamed,1
well wishes mr hotze s caps hot sellers online read make oil @number bbl again http,-1
green weekly triangle on @stock third scaling and closed,-1
@stock volume lower than today and red brings this back to @number @number from @number @number or higher,-1
short @stock see,-1
@stock new hod bought more @number @number @number @number @number @number target @number @number now holding it overnight,1
@stock oad this mini pullback,1
green weekly triangle on @stock sell short at @number @number,-1
watch @stock here under @number @number could be a nice short and there goes @stock under @number @number,-1
@stock fib @number retracement from @number low of @number @number to @number @number would be @number @number,-1
@stock @stock @stock @stock moonshots all over,1
@user @user @stock how do you know @stock is going to @number can you share that reasoning with us he is a george castanza,-1
hao b out @number @number price was rejected at @number @number today also high on @number @number,1
ed daily triangle on @stock scaling short position pdate,1
@stock break out pay attention to rising wedge,-1
@stock breaking and holding above @number for new all time highs,1
sensex nifty take breather from coronavirus fueled selloff http,1
ed weekly triangle on @stock open ong at @number @number,1
medical product companies with female directors recall products with high severity issues @number faster than those wit http,1
@stock still working well play of the week so far,1
sensex nifty trim losses as markets resume trading after @number minute halt http,-1
@stock not working so far still holding though,1
@stock continues to make new highs since breaking out on @number @number,1
@stock long @number @number,1
@stock up @number @number,1
@user i d be afraid to short @stock they are looking like a near monopoly in ebooks and infrastructure as a service,1
the pandemic sends a flood of new subscribers to disney offsetting some of the company s other shutdown problems http,-1
@stock penny stock alert this thing will be worth cents before the end of the year,-1
@stock crosses @numberma p @stock @number @number no div,-1
@stock from watch list over line on volume of @number of ave full day,1
@stock worse and worse,-1
@stock just saw the price of next weeks @stock @number @number @stock @numberc at @number,1
@stock haven t missed the party yet still consolidating could go any day,1
@stock great day today breakout on huge volume ots of shorts congrats to members who joined in,1
@stock next levels of resistance @number @number @number @number then nuthin but air note to self fills gaps nicely,1
@stock beastmode,1
@user i think the same aapl iphone lost the wow factor,-1
@stock popping out of downtrend mini wedge,1
@stock option trader buys @number @number of the feb @numberc against @stock of @number bet is on stock above @number by feb @numberth,1
@user @stock @number god quarterly histograms @stock @stock@number @number done still work to be done below shared jan @number,-1
cognizant withdraws @number forecast on coronavirus uncertainty http,-1
@stock trying to stay above @number @number needs followthrough here or the pattern may fail,1
@stock @number @number feels about right to enter swing position,1
@stock bullish technical divergence momentum indicators are above their late january lows while @stock hit a @number month low of @number this week,1
@stock gonzo,1
@stock over @number @number,1
@user @stock nice orderly channel setting up for higher prices @stock volume confirmation of course,1
sensex nifty likely to have @stock positive opening http,1
@stock almost every long will want to goo out for the week end nobody wnat to be caught @number @number for months,-1
nq f whatever @stock arry page s illness is it has to be neurological there s no such thing as monotone voice laryngitis i asked dr drew,-1
@stock drop,-1
@user @stock bears are finally getting trapped and feeling pain its time to cover and ride this baby back up to @number @number i like it,1
@stock target is @number @number that sucker will give almost everything back,-1
@stock easy look at last @number q s income data,1
apple s new iphone @stock offers a cheaper entry into the ecosystem that the company needs to grow http,1
@stock to face off with @stock exchanges in audit trail bidding,1
@stock shifting on the @number minute intraday suspect to trade owe careful shorting lows backs and fills disclosure short @stock,-1
ast time @stock dropped was when tim cook this was when tim cook spoke hummmm,-1
ong in @stock after beating @number @number stop loss in @number @number,1
we explain in the jan @numberth aapl video how not to be gaffed by the operators fish hooks aapl might be great co but broken sto,-1
morgan stanley s results fell just shy of projections by analysts who had revised their estimates downward as the http,-1
@stock attempting a short stroke breakout or forming a @number week tight pattern study,1
@stock setups @stock @stock @stock @stock ami @stock @stock @stock @stock,1
sensex closes @number @number points higher nifty reclaims @number @number http,1
@stock good volume but still fading patience patience,1
ooks ready to make new highs @number @number @stockmas are both rising w @stock trading above them breakout over @number @number,1
watch @stock under @number @number,-1
kept at home by the coronavirus many chinese fall behind on their debts http,-1
@user @stock treadmill stock dare i place @number call lots of people betting on @number next friday,1
major game consoles now stream @number month old games at heavily reduced price there won t be any need for physical used games anymore @stock to @number,-1
@stock we are calling the @stock bottom in,-1
@stock ooking for @number s headed higher with lower rates,1
@stock ripping lots to go,1
@stock breaking out,1
equities esearch morning post at my home page @stock @stock,-1
@stock over @number @number,1
@user getting excited about @stock on the @numberth bounce attempt is a bit silly,-1
@stock being a major thorn in my side today me being short that is,-1
paradoxically the fed s success holds the key for further rallies in the price of gold http,1
@stock ong setup ising @number methods candle pattern,1
shot setups @stock @stock @stock bid @stock @stock @stock @stock @stock,-1
@user i looks like it s getting ready for beast mode ook at insider buying nice pick i will be partaking i think time@numberresearch,1
@user zeno@number @stock of course looking at intra day is irrelevant for swing trading no sign revrs,-1
@stock @stock just keeps buying es f futures contracts with fed funny money why fight it,-1
@user ots of good setups posted here @number weeks ago @stock @stock @stock @stock @stock @stock @stock @stock @stock soda,1
@stock ong @number @number trailing stop @number @number from @number stops of @number @number @number @number @number @number and @number @number,1
@stock want to buy more around @number,-1
@stock early morning bounce holding support @number day @stock,1
@stock ong @number @number trailing stop @number @number from @number stops of @number @number @number @number @number @number @number @number @number @number @number @number and @number @number,1
@stock @number min @stock updated nice trigger early on @number @numberam,1
@stock @user businesses not governments have a huge say in how economies reopen after the pandemic recedes http,1
@stock bot @number @number i will hv to be patient @stock @stock moving in right direction don t underestimate loss of sat mail too @numbermil buyback @number p e,1
@stock @number min @stock triggered earlier,1
ong positions ana @stock @stock @stock @stock @stock,1
if @stock were as dead as some predict i would hope that the premium on puts calls would be lower,1
@stock obama biden to speak tomorrow on gun control legislation,1
@user @stock my premarket short has not worked but the @number short shares r keeping me way above aqua death by decay,1
sh enfuego maybe icahn long,1
po is perking up again very strong specialty chemicals stock,1
@stock another staffing co breaks out,1
@stock ot of big sellers on @number new od again @number @number expect a big sell of @stock,-1
@stock @numbermins evening star reversal with potential downtrend resistance,-1
@stock attempt @number hopefully it will make it this time @stock analysts or some catalyst will help,1
@stock full year @number revs @number @stock @number vs @number,1
shorting cog against @stock @stock cog so far above the @numberdma think it pulls back to the @numberdma here way too overextended imho,-1
@stock gap fill and go hope so,1
@stock the sentiment on this stock can change in a blink of an eye not for the faint of heart still long term bullish,1
@stock from still nothing bullish here,-1
@stock clearing next buy area per video this morning,1
this could be the last good chance to short @stock,-1
news on @stock,-1
@stock @user disney can t pack people into theme parks cruises and movie theaters for a while luckily it s stream is now a cheap op,-1
@stock surge of @stockaudi crude is expected to worsen a @stock @stock supply glut as drillers and refiners cut output and storage spa http,1
ed weekly triangle on @stock net profit @number @number @number @number gly waiting more than @number months,-1
green weekly monthly triangle on @stock pdating,-1
@stock those trapped in here should actually be thankful the company diluted on everyone otherwise it d be back down to @number lol,-1
green weekly triangle on @stock open sell short at @number @number,-1
@stock interesting here above @number could signal attempt at recent highs near @number,1
@user if you bought my stock of the year @stock you are now up @number @stock sell at least @number @number,1
gid reached my @numberst tgt @number @number nxt,1
@stock sitting here with my spy puts and @stock only positions,-1
@stock @number is resistance and heading to @number in the near term,-1
@stock taking out the high of it s ight shoulder why you don t anticipate,-1
@stock morgan stanley is nearing our medium term target,1
@stock over @number @number for a continuation,1
@stock taking some off here,1
@stock something going on long @number @number @number @number @number @number,1
shot setups @stock @stock @stock @stock @stock @stock @stock p@stockw,-1
@stock sold off big on high volume the close then they announce a restatement market rigged @stock,-1
@stock breaking lower since sharing with those on webinar last week hold on to your winners,-1
@stock mar @number put @number @number @stock mar @number put @number @number @stock mar @number call @number @number @stock apr @number call @number @number @stock will fill gap to @number,1
nice @user gid working on a very nice bullish base,1
@stock increasing natural gas prices not exactly great for cheniere even if they are just a toll gate owers the arbitrage potential,-1
sensex nifty surge for third straight day led by banking shares http,-1
@stock the bull roars in @stock,1
wall street resumes trading after @number slide triggers halt http,1
oil prices are down about @number this year http,-1
heard on the street investors are right to be nervous about the insurance sector http,-1
ed weekly triangle on @stock scaling p,1
sensex ends volatile session @number points lower nifty settles at @number @number as coronavirus fears persist sensex nifty marketupdates,-1
@stock whoa somebody has some confidence in @stock to da @stock,1
@stock strong winner buy right and sit tight darvas would said hold em until they stop moving,1
shot setups @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock,-1
ed weekly triangle on @stock scaling p,1
shorts @stock @stock @stock @stock @stock @stock hao,-1
@stock ooks bullish ong if beats @number @number stop loss in @number @number,1
the @number year treasury yield settled at @number @number its highest close since march @number http,1
green weekly triangle on @stock pdating,-1
@stock @user can t get your hands on a nintendo console to play the new version of animal crossing you could always buy nintendo stock,1
@stock @stock price action check breaking out above @number @number volume check @numberx avg,1
some good strong follow through early on today on @stock @stock others that are poised set up to move,1
will short @number shares of @stock at the open for a bearishbuck,-1
@stock taking more off here,1
@stock if i had enough cash on hand i d be shorting this right about now,-1
@stock dumping pop on fed @stock and @stock intervention in @stock @stock @stockx @stock @stock @stockxj,-1
students and their families can request a financial aid review if the economic fallout from the pandemic has hit th http,1
am @numberq operational cash flow neg @number million vs year ago @numberq of negative @numbermillion @number million improvement,1
@stock @number min found it helpful to watch the @number period @stock pink when using gap rule to protect profits,1
@stock one of the cheaper stocks in the entire complex if we get rid of the corrupt @stock i think this is easily a @number @number stock @stock @stock @stock,1
@stock hmmm i dunno i think this has some upside what do you think,1
@user @stock weekly going higher bot into close eod yest unit cost @number @number see we get a gapper today,1
long @stock @number @number holla,1
green weekly triangle on @stock open sell short at @number @number,-1
@stock going down to @number @number ouch,-1
@stock closed my short for some nice gains,-1
ife is a short if it can t hold this @number @number level,-1
@stock time to go batman,1
@stock let s see if it can bounce to @number now cautiously bullish,1
gold futures rise to hover near rs @number @number amid coronavirus fear http,1
p lots to like trendline support macd cross decent volume target @number stop @number @number,1
@stock short back on,-1
@stock watch it for a possible short,-1
@stock setups @stock @stockik @stock @stock @stock @stock @stock @stock and more,1
the coronavirus pandemic may like the great depression foster structural government policy change that outlasts t http,-1
@stock daily make green dot buy yesterday @number up target not overbought or oversold still positive,1
@stock broke @number @number day @stock s on friday acts dreky support levels seem to be in @number chunks to @number,-1
green weekly triangle on @stock sell short at @number @number,-1
@stock doji under trendline,-1
@stock got some of this looks good in favor with many like it target @number,1
@stock think this one rolls over here towards the @stock this one does have the chance of bankruptcy cash balances lower avail @stock lines lower,-1
@stock from @stock to olls oyce new cars at geneva auto show feature a full tank of @stock,1
@stock cant wait to pull the trigger on that one,-1
@user @number tech stocks that typically ally after @stock via @user @stock @stock @stock @stock @stock,1
@stock tips for @stock the other tim did it @stock raises div buys back stock,1
from yesterday new blog post watchlist for the week @stock spy @stock @stock @stock @stock @stock,1
softbank to raise @number billion to expand share buyback cut debt http,1
@stock ong if beats @number @number stop loss @number @number,1
@stock ppl buy android cause it is cheap but a phone that you wear like a watch cool game changer think big all the parts are there,1
@stock uggh the one put may @number i had might get wiped out to exit of double down,-1
@stock still flying off the shelves,1
@stock took some off @number @number stop,1
@stock @number @number is current support fib evel fyi,1
@stock upside volume low but confirmed strong support beneath,1
my new stocks just entered in my radar @stock @stock @stock @stock @stock,1
@stock looks to be bottoming but it also has not moved much off its lows with recent strength if it breaks @number to downside its good short,-1
@stock thank you to the greedy guy who bought my shares @number @number yesterday when it hit my stop i m sure they re now an investor,-1
@stock outside bbands i have to believe this pulls in a bit,-1
going long msft tomorrow i think @number is written all over this one ex div is also coming up,1
@stock @number min dot alert subscibers have made out @stock on these signal @stock that it serious good,1
government announces relief on health auto insurance policies due for renewal during lockdown http,1
@user @stock music service is delayed maybe buying p waste of money nothing proprietary it is just an app no value @stock,1
@user @stock does @stock look like a @stock @stock then why did you try to short him like one funny but he sort of does @stock,1
@stock see some negative price action here tomorrow most likely,-1
@stock eaches new @number week high ong if beats @number @number stop loss @number @number,1
po continues to recover well but really needs some volume on the upside to sustain it,1
@stock option trader buys @number @number of the jan @number @number call spread against low @stock indicating entering a position for @number bet on data bef jan @number,1
why can t they take @stock out of the index it s holding everyone back slacker,-1
just picked up a couple @stock@number @stock on @stock good idea ol,-1
@stock insider sells @numberm worth of stock every week,-1
@stock i like it with a close above @number @number,1
jon stewart sums up everything dangerous dumb hysterical about the post office circa @number cc @user @stock,1
our signals called @stock and highlighted @stock this week up @number today and next i think @stock is going to fly et s see,1
@stock @number short float may be a runner today,1
rupee jumps to return to @number levels against dollar after @stock announcements http,-1
@user why make a @stock offer now when he can shave @number more off offer price bid went from @number @number to just @number in a matter of months,-1
@number short ideas led by miners @stock @stock @stock @stock @stock bid @stock eyeing @number many extended but trade able,-1
@stock stormed back in week @number with a @number @number gain after being the dog in week @number @numberfor@number,1
@stock glasses will definitely give @stock a run for their money,1
@stock been struggling with vol resistance all year watching closing for a long position,1
@stock @numberst tgt @number @number @number if it can bounce here possible extension to @number later,1
@stock finally,1
@stock bullish engulfing,1
@stock time to book some profits more selections at,-1
@stock home sales out @stock @stock,1
@stock bearish,-1
would play it wait and see before adding more @stock but adding more @stock on dips,1
my holdings @stock,-1
going to full position in @stock,1
@user great rotation grasso confirming what i have been saying here for a while money coming out of @stock and buying @stock,1
@stock @stock overbought small position puts,-1
@stock @user zoom is now a household name which also puts its problems under a microscope for @user http,-1
market wrap video additions to watch ist including @stock @stock @stock @stock sons @stock @stock yep,1
@stock positive close above @number today is bullish i ll be looking for possible @stock set up,1
@stock swing still on,1
ock star direct @stock d@stock continues to power higher now up @number @number since march @number in the long term portfolio,1
@stock ong @number @number trailing stop @number @number from @number stops of @number @number @number @number @number @number @number @number @number @number @number @number @number @number,1
@stock short higher and will short more here @number @number,-1
@stock stock will never see @number again wouldn t be suprised if every insider sold here above @number wouldn t you oh my thats alot,-1
trade idea @stock the breakdown in @stock @number target @number @number cut above @number @number,-1
riskier investments including junk bonds and nongovernment backed mortgages are being left behind as markets atte http,-1
@stock @user in my column today i argue that central bank swap lines should be used to finance emerging markets balances of payments,1
@stock option trader takes profits in feb@numberp selling @numberk against @numberk @stock and rolling position to feb @numberp buying @numberk at @number @number,-1
@stock ho hum lots of love today ca,1
@user on any significant vol over @number @number in @stock it s a good entry @stock,1
@stock will be buying on all dips today an @stock trade a day keeps the doctor away trade range @number to @number today,1
coronavirus lockdown may hurt government s plan to sell record bonds http,-1
@stock wants to fill the gap which will be complete at @number @number higher highs and @stock and @stock showing bullish signals,1
@stock hawken has a price target of @number @number estimating the company will earn @number cents in @number,1
ana getting the breakout yest and holding up today presenting at @stock conf today at @number @numberest,1
ong nike @stock ange esources @stock h t nike @user,1
time for some shorty pants @stock trains esistance,-1
@stock broke trend,-1
@stock sitting tight on @stock calls,1
@stock @stock @stock @stock @stock the price of gold plunges to six month low,-1
investors lose rs @number @number lakh crore in worst day for markets in over four years http,-1
@stock is hanging on for dear life,-1
@stock my @number @number calls are happy now,1
@stock see no real company or new drug approval value lost just shorters manipulation,1
@stock now @stock is pushing too watchout @number day is possible,1
@user bulls are trying to keep this market in the green but you can tell its a struggle nasdaq now up just @number pts @stock fading,-1
@stock weekly @number @number meeting,1
@user @stock will finish green as i predicted i agree,1
@user clearly if but not until the @numberma cracks and @stock goes @stock it is a short straight to the @numberma i ll use @stock puts,-1
the phase irrational exuberance comes to mind when thinking about the absurd valuations of these companies @stock @stock @stock @stock @stock @stock,-1
wait to you see what they do w schools in @number @user the @stock airport locations are generally packed good news @user,1
si @stock alcanza los @number @number reconfirmaci n de la tendencia que lleva la sesi n provechando el rally alcista de final de sesi n,1
ed weekly triangle on @stock net profit @number @number @number @number @number,-1
@stock sell sell sell,-1
sensex opens @number points higher amid cautious gains in global markets http,1
@stock short entry here @number @number,-1
@user @stock @stock @stock@number @stockmat @stockco tracks @user eyes i want @stock wait for the creeper apps watchingyou,1
@stock drops over @number since sep b c of concerns of maybe a @number bump in android phone sales mathfail oversell,1
back to a full size position in @stock here,1
@stock picked up some for long term position,1
foreigners turn net sellers of asian bonds in february on coronavirus fears http,-1
cool stuff don t rock the boat tho see @stock @user heart epair breakthroughs eplace surgeon s knife @stock,1
six years ago apple introduced the iphone to the world do you remember where you were aapl sixyearsold,1
@stock has this inverse h s bounced off fib longer term @stock bottom,1
@stock added,1
@stock liked it where stewie mentioned off the @numberma first pullbk@number same would @stock good @numbernd entry,1
otten aapl spy,-1
@user @stock continues to weaken not following market short on break under @number @number @user,-1
government raises insolvency threshold to rs @number crore to help small firms http,1
@stock this is why trend matters,-1
need body parts ihi @stock @stock @stock @user nice call @stock,1
how much did @stock pay matt barkley for this @stock interview endorsement via @user,-1
@stock back in at @number @number,1
@stock over @number @number,1
@stock if you think you have not gotta a fair shake from tom ward and the board let the sec know about it corruption,1
@stock angebound in the consol pattern @stockolume coming in top of channel is vol res could explode,1
many of the millions of restaurant hotel and store workers who lost jobs because of coronavirus shutdowns are ente http,-1
gap filled doubt it holds @stock @stock @stock @stock toaster apple,-1
ackman you should be really going after @stock classic example of @stock firm worked for them a year or so momo is in favor yourwelcome,-1
@stock descending triangle formation please check any adding on position open akstergi,-1
@user @user shot @stock to @number one down @number to @stock lololol,-1
@stock december @number was a solid channel up with two bull flags january @number is seeing a solid channel down form bear flag @number in formation,-1
@stock bullish technical divergence momentum indicators are above their late january lows while @stock hit a @number month low of @number this week,1
@stock market wide breakdown exposed vulnerability in the nearly @number trillion municipal bond market http,-1
lazard and evercore will help boeing analyze government aid and potential funding from the private market people f http,1
watch for move on @stock @stock @stock @stocko @stock @stock @stock,1
if @stock holds up above @number today on good volume very bullish,1
@user @stock i love to short they are just revealing a phone that everyone has seen it does not make you younger think ip@number aapl,-1
i am long @stock about break even and @stock i d sell is @number if no dividend hike happens @stock is under @number right now on @stock@number @stock of @number,1
worst day for us markets since @number as coronavirus triggers recession fear http,-1
@stock don t forget @stock is friday @numberrd friday of month so we will see below @number @number for @stock @stock,-1
@stock going to @number,-1
@stock a classic move to @number testing on no cause webinar followers i ve added to short position,-1
@user edon @stock has a history of management dropping the ball on runs in the stock price hopefully they stay silent this time around,1
cox hasn t moved much since this @stock but catching my eye ight vol pullback above res @number day,1
my reasons to avoid monster beverage shares @stock @stock @stock,-1
if you ve been playing poker for half an hour and you still don t know who the patsy is you re the patsy buffett on @stock shorties,1
trade setup @stock,1
first ever purchase splurged on a new mat for bikram i hear frond green is hot w the ladies via @user,1
@stock @stock @number as vegas nevada january @numberth through @numberth in progress,1
@stock added,1
heard on the street don t be fooled by improving chinese exports http,1
i have no position in @stock i just pointed out that under @number @number it would be a nice short with a @number @number target,-1
latest on the spread of the coronavirus around the world http,-1
@stock bearish divergence @stock @stock and @numberema looking to possibly cross @numberema might have to wait for @stockpy to top first,-1
the rodeo clown sent @stock screaming into the @stock weekly red zone time to peel away before it turns,-1
@stock long i have posted for days hits target today for nice @number gain just sharing what it simple,1
@stock is breaking out of bull flag ow volume but technicals look good,1
@stock ets see if it breaks over @number medium set up on watch volume needed @stock starting to point up,1
@stock crosses below @number and i am shorting it,-1
investors are anticipating new home construction data and a fed survey on manufacturing conditions http,1
@stock holding @numbersma ooks like the stock could try and take a trip to @number @number if volume comes in,1
@user ong in @stock after beating @number @number stop loss in @number @number,1
omega advisors initiated a @number million share stake in @stock also sold his entire stake in apple @stock,-1
@stock @stock @stock beige book @stock @stock everything looks good,1
the new wightwatchers ads are more fun and light and with regular people more interesting but i still dont trust them @stock no position,-1
@stock @stock @stock @stock ym @stock wall street retreats candles the dow jones dismisses the @number @number points,-1
wholesale inflation eases to @number in march http,-1
cox possible breakout play,1
gold futures cool off after rising over @number amid coronavirus panic http,1
@stock @stock at @number @number,-1
@stock still in this @number week consolidation base breakout over @number @number @number @number w volume as buying pts,1
@stock ready to break key resistanec at @number,1
@stock full stoch analysis yesterday,-1
@stock @number down days in last @number going to wear off the overbought while giving back nothing amazing,1
@stock @stock s arry haverty apple is extremely cheap great video,1
@user ong @stock stop at @number weekend play i like that dude,1
@stock @number @number selling from daytrade swing trades played from @number @number to break @number @number it sure did thanks @stock,1
@stock @number retest and now probably @number,-1
@stock tempted to increase position on tue,1
@stock buyer scooping up ca,1
@stock new high of day,1
watching @stock @stock for low entry points @stock replaced @stock with the state of @stockalifornia @stock and @stocks contracts may see some pops later on,1
@user bet it all on @stock right now ather bet on @stock @number week low than all the vapour ware @number or @stock time highs poof,1
@stock @number min ok really this is the last one note @numberma and @number fibs just below @stockitting on @stock@number now,-1
@stock looks ready to break out for the next leg up,1
the federal reserve on wednesday said it was temporarily taking steps to ease an obscure capital requirement for la http,1
@stock insiders staring to buy and at a macro bottom @stock patience,1
@stock @stock market may be figuring out legislation on guns won t pass or be much at all shootings time to load up,1
@user @stock down @number premarket anyone know where the bottom is @stock if it does not stop before that i m buying it,1
whisper expectations for @stock,1
p breaking out after expanding from shark pattern yesterday,1
@stock seems to be finding long term range between @number @number @number @number this should be more of a position trade where you can accumulate lower,1
long some @stock i like the cup and handle pattern earnings aren t till late feb,1
@stock a fool s errand,1
grocery tycoon kishore biyani s battle to keep his company afloat http,-1
@stock under @number is a great long term buy ignore the noise,1
oil gas equipment and svs stocks continue to show @stock @stock @stock @stock,1
@stock buy when it clears resistance at @number @number,1
@stock if it can hold this @number @number level it is a good long imo,1
@stock did not catch the bottom but bought some on weird dip hope that manipulation means good things to come,1
@stock @user the banks for years rode consumer spending and borrowing to big profits now they are preparing to struggle alongside th,-1
president trump gives a green light for americans to make money in outer space http,1
so much topping action here shorting @stock at @number @number shorting @stock here at @number with a stop at @number @number ike these trades @stock @stock,-1
@user kiwis hello friend did you see @stock pre market today untouchable situation,-1
@stock still think there is a better than @number chance it tags @number but moving stop on rest to @number @number,1
@stock @stock both breaking up out of similar bull flag patterns volume light though so keep that in mind,1
@stock evel @stock easing a bit but still allowing the possibility of a late day run,1
@stock key resistance broken,1
when @stock monetize all electronics it makes with traffic to marketplace @stock @stock will wake up and say why didn t we buy @stock,1
@stock trend well in tact here now confirming the move other set ups i like,1
if @stock breaks the support level at @number @number then it could bring @number area no reasons to buy yet,-1
ed weekly triangle on @stock pdating,1
from watch list hao slipped over line when i was not watching volume is @number of full day ave,1
holding ana @stock @stock @stock @stock @stock @stock,1
@user @stock lol pin at @number @stock indeed,1
@stock @user @stock @stock working on left side of new bases wait patiently for them to form better price action as entry is everything,1
@stock bouncing from the @number fibo line breaking out @number @number resistance line all indicators @stock,1
@stock the dump will come faster than the pump @stock,-1
today could be the day where @stock breaks @number and the rest of the market doesn t care what a change divorce @stock spy,1
@stock over sold in oscillating ange indicators suggest buy price holds above prev close increase in volume,1
market wrap video additions to watch ist including @stock @stock @stock @stock @stock,1
out of @stock short for now as it tests its @numberdma awesome trade up @number @number days,-1
@stock @numberx@number ratio spread goes off in may buying @number @number @numberp for @number @number and selling @number @number @numberp for @number against lower @stock opening position,-1
@user @stock stop loss in @number @number after beating @number @number,1
@stock oct @numberc bought @number @numberx at @number vs @stock of @number suspicious out of the money big trade probably opening,1
@stock not getting much lift from the rally looking like a possible bear flag adding to short,-1
added again to @stock @number @number,1
@user @stock next stop @number area first has a date with the @number sma @stock if it goes below that then you ll be right,-1
isopropyl alcohol prices have more than tripled in the @stock @stock since march @number and reached @number @number a metric ton tuesday http,-1
@stock aises dividend from @number @number to @number share @stock was quite bullish on all fronts analysts seen enthused,1
@stock long @number @number @number @number @number @number target @number @number,1
expensive and cheap i dive a little deeper for you new blog post nke aapl spy,1
@stock like that finish,1
@stock @number hour ascending triangle evident,1
bullish @stock @stock @stock,1
es f ule of thumb is that former momo names need @number years to reset from top to the next bottom former popped junk like @stock best short,-1
@stock has @numberd printing on its adar as a transforming technology,1
green daily triangle on @stock open ong at @number @number,1
outbreak how coronavirus swept through jpmorgan s trading floor http,-1
@stock mason getting the boot is probably the best news for that company since it came public doesn t solve the problems with the biz tho,-1
us employment falls @number @number in march amid coronavirus http,-1
@stock under @number shorted here @number stop,-1
@stock next stop @number @number,-1
@stock now it will come back to haunt them for years as they say you eap what you sow,-1
green daily triangle on @stock pdating,-1
@stock shot will see around @number @number very soon @number is to much for adbe thanks and have a good day,-1
